Wall time,Step,Value
1556423689.5681255,5004458,17.604999542236328
1556423902.2106457,5018948,17.729999542236328
1556424089.2475529,5031733,18.975000381469727
1556424136.901528,5034958,18.19499969482422
1556424139.204863,5035113,18.155000686645508
1556424245.4658737,5042298,18.739999771118164
1556424262.7291877,5043464,17.979999542236328
1556424317.0999339,5047137,18.295000076293945
1556424820.8537862,5081390,18.239999771118164
1556424916.5925398,5087860,18.395000457763672
1556425207.1549613,5107659,18.325000762939453
1556425208.9520645,5107782,17.665000915527344
1556425223.717121,5108791,17.8700008392334
1556425226.7484508,5108998,17.834999084472656
1556425441.9194415,5123709,18.094999313354492
1556425558.5455103,5131670,19.19499969482422
1556425711.9436092,5142137,19.3700008392334
1556425831.296397,5150266,20.405000686645508
1556426171.1445866,5173318,19.149999618530273
1556426347.2867734,5185238,19.780000686645508
1556426375.0512555,5187123,19.165000915527344
1556426514.316257,5196587,19.15999984741211
1556426574.0067098,5200635,18.954999923706055
1556426857.1837714,5219868,19.450000762939453
1556427146.9321845,5239520,19.260000228881836
1556427251.6054516,5246609,19.0049991607666
1556427639.3392258,5272866,17.110000610351562
1556427649.4626665,5273553,17.010000228881836
1556427667.9653428,5274808,17.315000534057617
1556428003.0122938,5297523,17.96500015258789
1556428085.6098545,5303108,17.575000762939453
1556428453.8571503,5328037,18.875
1556428638.0377073,5340452,18.780000686645508
1556428640.3605494,5340608,18.780000686645508
1556429352.9782774,5388960,19.34000015258789
1556429532.9382622,5401253,19.43000030517578
1556429535.1108162,5401402,18.579999923706055
1556429853.9085515,5423099,20.69499969482422
1556429887.6524909,5425405,20.274999618530273
1556429979.8397303,5431687,19.7450008392334
1556430009.4336443,5433705,19.979999542236328
1556430104.6429245,5440201,19.655000686645508
1556430133.8097906,5442193,19.729999542236328
1556430400.6498492,5460416,18.739999771118164
1556430673.3056877,5479030,19.344999313354492
1556430837.8198628,5490257,20.594999313354492
1556430862.4046452,5491934,19.760000228881836
1556431811.5095322,5556494,19.625
1556431945.7786634,5565677,20.450000762939453
1556432010.259836,5570081,20.34000015258789
1556432138.4601817,5578839,20.649999618530273
1556432167.995905,5580855,20.350000381469727
1556432248.4059606,5586347,20.934999465942383
1556432282.7489998,5588693,20.385000228881836
1556432348.1577296,5593153,20.735000610351562
1556432475.9836862,5601849,20.674999237060547
1556432784.1553082,5622870,19.594999313354492
1556432795.7330334,5623655,19.389999389648438
1556432998.4678774,5637430,18.7450008392334
1556433161.3978279,5648560,19.05500030517578
1556433328.1504192,5659923,19.709999084472656
1556433770.0171778,5690024,20.389999389648438
1556433840.2609694,5694790,19.5049991607666
1556434312.595709,5726827,19.040000915527344
1556434341.743807,5728797,17.854999542236328
1556434392.6206753,5732234,17.854999542236328
1556434629.71796,5748244,20.524999618530273
1556434687.1513388,5752129,20.459999084472656
1556435100.6800663,5780227,19.704999923706055
1556435116.1597488,5781285,19.924999237060547
1556435804.5803473,5828307,19.459999084472656
1556435822.693022,5829533,19.075000762939453
1556435828.514019,5829928,19.56999969482422
1556435903.2430377,5834980,18.510000228881836
1556435979.910557,5839598,17.770000457763672
1556436030.0238519,5842841,18.09000015258789
1556436078.244858,5845990,17.645000457763672
1556436106.790183,5847801,17.309999465942383
1556436136.0582397,5849716,18.735000610351562
1556436301.9327772,5860554,18.80500030517578
1556436350.5926466,5863858,18.895000457763672
1556436472.4508646,5872123,19.770000457763672
1556436679.2655342,5886133,19.65999984741211
1556436809.0254037,5894926,20.510000228881836
1556437045.415498,5910865,19.56999969482422
1556437154.332125,5918226,19.045000076293945
1556437235.95805,5923760,17.7450008392334
1556437307.44416,5928600,19.440000534057617
1556437459.2755613,5938884,19.704999923706055
